order_id,customer_id,merchant_id,amount,currency,status,created_at
ORD-10001,CUST-130,MERCHANT_001,55.76,USD,COMPLETED,2026-08-27T19:46:17.813512
ORD-10002,CUST-833,MERCHANT_001,297.7,USD,COMPLETED,2026-08-31T09:03:17.813512
ORD-10003,CUST-928,MERCHANT_001,393.15,USD,COMPLETED,2026-08-26T23:50:17.813512
ORD-10004,CUST-320,MERCHANT_001,431.39,USD,COMPLETED,2026-08-29T00:09:17.813512
ORD-10005,CUST-967,MERCHANT_001,164.62,USD,COMPLETED,2026-08-28T04:28:17.813512
ORD-10006,CUST-487,MERCHANT_001,49.28,USD,COMPLETED,2026-08-28T12:18:17.813512
ORD-10007,CUST-296,MERCHANT_001,321.49,USD,COMPLETED,2026-08-25T16:45:17.813512
ORD-10008,CUST-975,MERCHANT_001,116.26,USD,COMPLETED,2026-08-26T07:49:17.813512
ORD-10009,CUST-473,MERCHANT_001,85.75,USD,COMPLETED,2026-08-29T05:15:17.813512
ORD-10010,CUST-763,MERCHANT_001,46.06,USD,COMPLETED,2026-08-27T02:58:17.813512
ORD-10011,CUST-488,MERCHANT_001,132.43,USD,COMPLETED,2026-08-31T12:20:17.813512
ORD-10012,CUST-941,MERCHANT_001,28.96,USD,COMPLETED,2026-08-28T18:23:17.813512
ORD-10013,CUST-422,MERCHANT_001,107.49,USD,COMPLETED,2026-08-30T20:34:17.813512
ORD-10014,CUST-242,MERCHANT_001,122.28,USD,COMPLETED,2026-08-31T13:32:17.813512
ORD-10015,CUST-508,MERCHANT_001,172.47,USD,COMPLETED,2026-08-26T18:01:17.813512
ORD-10016,CUST-256,MERCHANT_001,287.94,USD,COMPLETED,2026-08-29T23:31:17.813512
ORD-10017,CUST-579,MERCHANT_001,245.16,USD,COMPLETED,2026-08-31T11:19:17.813512
ORD-10018,CUST-798,MERCHANT_001,399.88,USD,COMPLETED,2026-08-28T05:06:17.813512
ORD-10019,CUST-545,MERCHANT_001,83.8,USD,COMPLETED,2026-08-25T05:08:17.813512
ORD-10020,CUST-612,MERCHANT_001,346.45,USD,COMPLETED,2026-08-30T22:52:17.813512
ORD-10021,CUST-961,MERCHANT_001,292.94,USD,COMPLETED,2026-09-01T02:32:17.813512
ORD-10022,CUST-897,MERCHANT_001,416.26,USD,COMPLETED,2026-08-25T04:24:17.813512
ORD-10023,CUST-471,MERCHANT_001,397.24,USD,COMPLETED,2026-08-28T16:13:17.813512
ORD-10024,CUST-187,MERCHANT_001,333.38,USD,COMPLETED,2026-08-25T23:08:17.813512
ORD-10025,CUST-775,MERCHANT_001,221.75,USD,COMPLETED,2026-08-31T10:22:17.813512
ORD-10026,CUST-316,MERCHANT_001,419.08,USD,COMPLETED,2026-08-27T11:10:17.813512
ORD-10027,CUST-482,MERCHANT_001,205.57,USD,COMPLETED,2026-08-31T01:34:17.813512
ORD-10028,CUST-446,MERCHANT_001,24.15,USD,COMPLETED,2026-08-31T11:30:17.813512
ORD-10029,CUST-824,MERCHANT_001,289.53,USD,COMPLETED,2026-08-27T18:45:17.813512
ORD-10030,CUST-785,MERCHANT_001,226.16,USD,COMPLETED,2026-08-31T07:29:17.813512
ORD-10031,CUST-584,MERCHANT_001,120.7,USD,COMPLETED,2026-08-30T13:24:17.813512
ORD-10032,CUST-774,MERCHANT_001,202.51,USD,COMPLETED,2026-08-29T23:54:17.813512
ORD-10033,CUST-200,MERCHANT_001,41.37,USD,COMPLETED,2026-08-29T00:54:17.813512
ORD-10034,CUST-649,MERCHANT_001,210.15,USD,COMPLETED,2026-08-29T23:27:17.813512
ORD-10035,CUST-553,MERCHANT_001,366.49,USD,COMPLETED,2026-08-31T10:31:17.813512
ORD-10036,CUST-115,MERCHANT_001,436.51,USD,COMPLETED,2026-08-27T20:47:17.813512
ORD-10037,CUST-268,MERCHANT_001,179.85,USD,COMPLETED,2026-08-29T14:51:17.813512
ORD-10038,CUST-848,MERCHANT_001,448.01,USD,COMPLETED,2026-08-31T12:00:17.813512
ORD-10039,CUST-403,MERCHANT_001,109.7,USD,COMPLETED,2026-08-25T20:13:17.813512
ORD-10040,CUST-421,MERCHANT_001,39.87,USD,COMPLETED,2026-08-31T19:46:17.813512
ORD-10041,CUST-158,MERCHANT_001,432.94,USD,COMPLETED,2026-08-26T02:07:17.813512
ORD-10042,CUST-791,MERCHANT_001,389.89,USD,COMPLETED,2026-08-29T18:30:17.813512
ORD-10043,CUST-140,MERCHANT_001,284.43,USD,COMPLETED,2026-08-29T22:43:17.813512
ORD-10044,CUST-367,MERCHANT_001,103.85,USD,COMPLETED,2026-08-28T18:02:17.813512
ORD-10045,CUST-760,MERCHANT_001,145.5,USD,COMPLETED,2026-08-28T18:35:17.813512
ORD-10046,CUST-676,MERCHANT_001,448.3,USD,COMPLETED,2026-08-26T00:15:17.813512
ORD-10047,CUST-457,MERCHANT_001,398.18,USD,COMPLETED,2026-08-27T22:57:17.813512
ORD-10048,CUST-656,MERCHANT_001,321.04,USD,COMPLETED,2026-08-31T04:41:17.813512
ORD-10049,CUST-779,MERCHANT_001,60.06,USD,COMPLETED,2026-08-26T16:55:17.813512
ORD-10050,CUST-666,MERCHANT_001,82.62,USD,COMPLETED,2026-08-28T09:11:17.813512
ORD-10051,CUST-803,MERCHANT_001,290.89,USD,COMPLETED,2026-08-28T04:20:17.813512
ORD-10052,CUST-749,MERCHANT_001,199.26,USD,COMPLETED,2026-08-28T07:48:17.813512
ORD-10053,CUST-368,MERCHANT_001,85.29,USD,COMPLETED,2026-08-30T04:54:17.813512
ORD-10054,CUST-214,MERCHANT_001,47.73,USD,COMPLETED,2026-08-26T20:57:17.813512
ORD-10055,CUST-665,MERCHANT_001,79.42,USD,COMPLETED,2026-08-26T15:03:17.813512
ORD-10056,CUST-315,MERCHANT_001,311.7,USD,COMPLETED,2026-08-26T08:19:17.813512
ORD-10057,CUST-867,MERCHANT_001,82.23,USD,COMPLETED,2026-08-27T20:53:17.813512
ORD-10058,CUST-125,MERCHANT_001,93.02,USD,COMPLETED,2026-08-28T22:57:17.813512
ORD-10059,CUST-930,MERCHANT_001,122.95,USD,COMPLETED,2026-08-26T23:43:17.813512
ORD-10060,CUST-979,MERCHANT_001,219.75,USD,COMPLETED,2026-08-27T10:44:17.813512
ORD-10061,CUST-914,MERCHANT_001,394.03,USD,COMPLETED,2026-08-27T17:07:17.813512
ORD-10062,CUST-385,MERCHANT_001,390.99,USD,COMPLETED,2026-08-28T08:28:17.813512
ORD-10063,CUST-963,MERCHANT_001,248.25,USD,COMPLETED,2026-08-25T11:47:17.813512
ORD-10064,CUST-139,MERCHANT_001,62.16,USD,COMPLETED,2026-08-30T02:54:17.813512
ORD-10065,CUST-720,MERCHANT_001,443.14,USD,COMPLETED,2026-08-26T11:49:17.813512
ORD-10066,CUST-825,MERCHANT_001,204.69,USD,COMPLETED,2026-08-31T02:13:17.813512
ORD-10067,CUST-854,MERCHANT_001,306.72,USD,COMPLETED,2026-08-29T07:42:17.813512
ORD-10068,CUST-421,MERCHANT_001,303.57,USD,COMPLETED,2026-08-26T14:16:17.813512
ORD-10069,CUST-518,MERCHANT_001,156.89,USD,COMPLETED,2026-08-28T12:59:17.813512
ORD-10070,CUST-488,MERCHANT_001,309.63,USD,COMPLETED,2026-08-27T03:46:17.813512
ORD-10071,CUST-100,MERCHANT_001,147.19,USD,COMPLETED,2026-08-27T13:38:17.813512
ORD-10072,CUST-576,MERCHANT_001,207.18,USD,COMPLETED,2026-08-27T14:36:17.813512
ORD-10073,CUST-774,MERCHANT_001,51.89,USD,COMPLETED,2026-08-31T01:00:17.813512
ORD-10074,CUST-938,MERCHANT_001,429.12,USD,COMPLETED,2026-08-27T20:23:17.813512
ORD-10075,CUST-125,MERCHANT_001,35.1,USD,COMPLETED,2026-08-30T13:59:17.813512
ORD-10076,CUST-689,MERCHANT_001,99.58,USD,COMPLETED,2026-08-29T13:06:17.813512
ORD-10077,CUST-868,MERCHANT_001,389.29,USD,COMPLETED,2026-08-26T09:21:17.813512
ORD-10078,CUST-812,MERCHANT_001,240.31,USD,COMPLETED,2026-08-25T17:57:17.813512
ORD-10079,CUST-236,MERCHANT_001,363.62,USD,COMPLETED,2026-08-31T05:17:17.813512
ORD-10080,CUST-934,MERCHANT_001,327.88,USD,COMPLETED,2026-08-30T22:05:17.813512
ORD-10081,CUST-982,MERCHANT_001,221.48,USD,COMPLETED,2026-08-28T03:01:17.813512
ORD-10082,CUST-884,MERCHANT_001,353.29,USD,COMPLETED,2026-08-30T16:34:17.813512
ORD-10083,CUST-378,MERCHANT_001,161.09,USD,COMPLETED,2026-08-31T07:44:17.813512
ORD-10084,CUST-810,MERCHANT_001,81.47,USD,COMPLETED,2026-08-27T14:40:17.813512
ORD-10085,CUST-577,MERCHANT_001,195.86,USD,COMPLETED,2026-08-27T12:43:17.813512
ORD-10086,CUST-120,MERCHANT_001,387.68,USD,COMPLETED,2026-08-31T17:27:17.813512
ORD-10087,CUST-871,MERCHANT_001,184.64,USD,COMPLETED,2026-08-29T22:40:17.813512
ORD-10088,CUST-325,MERCHANT_001,227.38,USD,COMPLETED,2026-08-28T06:46:17.813512
ORD-10089,CUST-784,MERCHANT_001,310.43,USD,COMPLETED,2026-08-29T18:39:17.813512
ORD-10090,CUST-737,MERCHANT_001,247.34,USD,COMPLETED,2026-08-29T15:50:17.813512
ORD-10091,CUST-758,MERCHANT_001,201.45,USD,COMPLETED,2026-08-30T10:19:17.813512
ORD-10092,CUST-316,MERCHANT_001,212.79,USD,COMPLETED,2026-08-29T00:24:17.813512
ORD-10093,CUST-954,MERCHANT_001,50.63,USD,COMPLETED,2026-08-25T09:32:17.813512
ORD-10094,CUST-765,MERCHANT_001,44.85,USD,COMPLETED,2026-08-25T15:14:17.813512
ORD-10095,CUST-120,MERCHANT_001,285.28,USD,COMPLETED,2026-08-27T21:23:17.813512
ORD-10096,CUST-576,MERCHANT_001,319.27,USD,COMPLETED,2026-08-29T08:58:17.813512
ORD-10097,CUST-217,MERCHANT_001,353.34,USD,COMPLETED,2026-08-27T00:58:17.813512
ORD-10098,CUST-419,MERCHANT_001,265.47,USD,COMPLETED,2026-08-29T10:44:17.813512
ORD-10099,CUST-807,MERCHANT_001,376.3,USD,COMPLETED,2026-08-27T22:33:17.813512
ORD-10100,CUST-800,MERCHANT_001,276.18,USD,COMPLETED,2026-08-26T13:18:17.813512
