payment_id,order_id,gateway,amount,fee,currency,status,transaction_ref,timestamp
PAY-20001,ORD-10001,Adyen,55.76,1.59,USD,CAPTURED,TXN-308496,2026-08-27T19:46:20.813512
PAY-20002,ORD-10002,Stripe,297.7,8.93,USD,CAPTURED,TXN-391704,2026-08-31T09:03:47.813512
PAY-20003,ORD-10003,PayPal,393.15,13.86,USD,CAPTURED,TXN-263032,2026-08-26T23:50:40.813512
PAY-20005,ORD-10005,Stripe,164.62,5.07,USD,CAPTURED,TXN-230889,2026-08-28T04:29:05.813512
PAY-20006,ORD-10006,Adyen,49.28,1.43,USD,CAPTURED,TXN-705397,2026-08-28T12:18:58.813512
PAY-20007,ORD-10007,Stripe,321.49,9.62,USD,CAPTURED,TXN-183667,2026-08-25T16:46:08.813512
PAY-20008,ORD-10008,PayPal,116.26,4.44,USD,CAPTURED,TXN-974628,2026-08-26T07:49:48.813512
PAY-20009,ORD-10009,Adyen,85.75,2.34,USD,CAPTURED,TXN-816751,2026-08-29T05:15:36.813512
PAY-20010,ORD-10010,Adyen,46.06,1.35,USD,CAPTURED,TXN-584714,2026-08-27T02:58:34.813512
PAY-20011,ORD-10011,Adyen,132.43,3.51,USD,CAPTURED,TXN-340174,2026-08-31T12:20:39.813512
PAY-20012,ORD-10012,PayPal,28.96,1.47,USD,CAPTURED,TXN-852787,2026-08-28T18:23:23.813512
PAY-20013,ORD-10013,Adyen,107.49,2.89,USD,CAPTURED,TXN-377746,2026-08-30T20:34:48.813512
PAY-20014,ORD-10014,PayPal,122.28,4.65,USD,CAPTURED,TXN-711878,2026-08-31T13:33:06.813512
PAY-20015,ORD-10015,PayPal,172.47,6.35,USD,REFUNDED,TXN-214975,2026-08-26T18:01:24.813512
PAY-20016,ORD-10016,Stripe,287.94,8.65,USD,CAPTURED,TXN-724834,2026-08-29T23:31:43.813512
PAY-20017,ORD-10017,Stripe,245.16,7.41,USD,CAPTURED,TXN-220116,2026-08-31T11:20:02.813512
PAY-20019,ORD-10019,Adyen,83.8,2.3,USD,CAPTURED,TXN-376183,2026-08-25T05:09:15.813512
PAY-20020,ORD-10020,Stripe,346.45,10.35,USD,CAPTURED,TXN-412942,2026-08-30T22:53:14.813512
PAY-20021,ORD-10021,Stripe,292.94,8.8,USD,CAPTURED,TXN-665579,2026-09-01T02:32:42.813512
PAY-20022,ORD-10022,PayPal,416.26,14.64,USD,CAPTURED,TXN-217301,2026-08-25T04:24:50.813512
PAY-20023,ORD-10023,Stripe,397.24,11.82,USD,CAPTURED,TXN-182582,2026-08-28T16:13:34.813512
PAY-20024,ORD-10024,Adyen,333.38,8.53,USD,CAPTURED,TXN-234628,2026-08-25T23:09:08.813512
PAY-20025,ORD-10025,PayPal,221.75,8.03,USD,CAPTURED,TXN-543692,2026-08-31T10:22:52.813512
PAY-20026,ORD-10026,PayPal,419.08,14.74,USD,CAPTURED,TXN-781446,2026-08-27T11:10:44.813512
PAY-20027,ORD-10027,Stripe,205.57,6.26,USD,CAPTURED,TXN-167136,2026-08-31T01:34:34.813512
PAY-20028,ORD-10028,Adyen,24.15,0.8,USD,CAPTURED,TXN-174441,2026-08-31T11:30:33.813512
PAY-20029,ORD-10029,Stripe,289.53,18.79,USD,CAPTURED,TXN-392004,2026-08-27T18:46:14.813512
PAY-20030,ORD-10030,Adyen,226.16,5.85,USD,CAPTURED,TXN-704201,2026-08-31T07:30:15.813512
PAY-20031,ORD-10031,PayPal,120.7,4.59,USD,CAPTURED,TXN-201639,2026-08-30T13:24:31.813512
PAY-20032,ORD-10032,PayPal,202.51,16.76,USD,CAPTURED,TXN-777568,2026-08-29T23:55:14.813512
PAY-20033,ORD-10033,Stripe,41.37,1.5,USD,CAPTURED,TXN-299448,2026-08-29T00:54:34.813512
PAY-20034,ORD-10034,PayPal,210.15,7.64,USD,CAPTURED,TXN-179046,2026-08-29T23:27:48.813512
PAY-20035,ORD-10035,Stripe,366.49,10.93,USD,CAPTURED,TXN-976638,2026-08-31T10:32:00.813512
PAY-20036,ORD-10036,PayPal,414.22,15.33,USD,CAPTURED,TXN-161483,2026-08-27T20:47:50.813512
PAY-20037,ORD-10037,PayPal,179.85,6.6,USD,CAPTURED,TXN-830429,2026-08-29T14:51:37.813512
PAY-20038,ORD-10038,Adyen,448.01,11.4,USD,CAPTURED,TXN-299122,2026-08-31T12:00:50.813512
PAY-20039,ORD-10039,Adyen,109.7,2.94,USD,CAPTURED,TXN-884309,2026-08-25T20:13:53.813512
PAY-20040,ORD-10040,Adyen,39.87,1.2,USD,CAPTURED,TXN-265080,2026-08-31T19:47:17.813512
PAY-20041,ORD-10041,Stripe,432.94,12.86,USD,CAPTURED,TXN-171262,2026-08-26T02:07:23.813512
PAY-20042,ORD-10042,Adyen,389.89,9.95,USD,CAPTURED,TXN-723398,2026-08-29T18:30:34.813512
PAY-20043,ORD-10043,Adyen,284.43,7.31,USD,CAPTURED,TXN-431737,2026-08-29T22:43:55.813512
PAY-20044,ORD-10044,PayPal,103.85,4.02,USD,CAPTURED,TXN-804318,2026-08-28T18:02:44.813512
PAY-20045,ORD-10045,Stripe,145.5,4.52,USD,CAPTURED,TXN-751332,2026-08-28T18:35:19.813512
PAY-20046,ORD-10046,Stripe,448.3,13.3,USD,CAPTURED,TXN-238890,2026-08-26T00:15:51.813512
PAY-20047,ORD-10047,PayPal,398.18,14.03,USD,CAPTURED,TXN-974244,2026-08-27T22:57:29.813512
PAY-20048,ORD-10048,Adyen,321.04,8.23,USD,CAPTURED,TXN-413921,2026-08-31T04:42:11.813512
PAY-20049,ORD-10049,Stripe,60.06,2.04,USD,CAPTURED,TXN-878480,2026-08-26T16:56:15.813512
PAY-20050,ORD-10050,Stripe,82.62,2.7,USD,CAPTURED,TXN-313487,2026-08-28T09:12:04.813512
PAY-20051,ORD-10051,PayPal,290.89,10.38,USD,CAPTURED,TXN-196781,2026-08-28T04:20:35.813512
PAY-20052,ORD-10052,Stripe,199.26,6.08,USD,CAPTURED,TXN-768061,2026-08-28T07:48:40.813512
PAY-20053,ORD-10053,Adyen,85.29,2.33,USD,CAPTURED,TXN-110139,2026-08-30T04:54:46.813512
PAY-20054,ORD-10054,Stripe,47.73,1.68,USD,CAPTURED,TXN-710805,2026-08-26T20:58:12.813512
PAY-20056,ORD-10056,Adyen,311.7,7.99,USD,CAPTURED,TXN-750810,2026-08-26T08:20:15.813512
PAY-20057,ORD-10057,Stripe,82.23,2.68,USD,CAPTURED,TXN-532322,2026-08-27T20:54:10.813512
PAY-20058,ORD-10058,PayPal,93.02,3.65,USD,CAPTURED,TXN-870763,2026-08-28T22:58:10.813512
PAY-20059,ORD-10059,Adyen,122.95,3.27,USD,CAPTURED,TXN-140605,2026-08-26T23:43:25.813512
PAY-20060,ORD-10060,PayPal,219.75,7.96,USD,CAPTURED,TXN-960394,2026-08-27T10:44:41.813512
PAY-20061,ORD-10061,Adyen,394.03,10.05,USD,CAPTURED,TXN-444207,2026-08-27T17:07:31.813512
PAY-20062,ORD-10062,Adyen,390.99,9.97,USD,CAPTURED,TXN-812526,2026-08-28T08:28:51.813512
PAY-20063,ORD-10063,PayPal,248.25,8.93,USD,CAPTURED,TXN-378361,2026-08-25T11:47:30.813512
PAY-20064,ORD-10064,Adyen,62.16,1.75,USD,CAPTURED,TXN-557592,2026-08-30T02:55:09.813512
PAY-20065,ORD-10065,Adyen,443.14,11.28,USD,CAPTURED,TXN-146542,2026-08-26T11:49:31.813512
PAY-20066,ORD-10066,Adyen,204.69,5.32,USD,CAPTURED,TXN-877991,2026-08-31T02:14:02.813512
PAY-20067,ORD-10067,Stripe,306.72,9.19,USD,CAPTURED,TXN-753425,2026-08-29T07:43:01.813512
PAY-20068,ORD-10068,PayPal,303.57,10.81,USD,CAPTURED,TXN-799287,2026-08-26T14:16:51.813512
PAY-20069,ORD-10069,Stripe,156.89,4.85,USD,CAPTURED,TXN-797229,2026-08-28T12:59:31.813512
PAY-20070,ORD-10070,Adyen,309.63,7.94,USD,CAPTURED,TXN-974224,2026-08-27T03:46:38.813512
PAY-20071,ORD-10071,Adyen,147.19,3.88,USD,CAPTURED,TXN-437902,2026-08-27T13:38:57.813512
PAY-20072,ORD-10072,PayPal,207.18,7.53,USD,CAPTURED,TXN-277934,2026-08-27T14:37:09.813512
PAY-20073,ORD-10073,Adyen,51.89,1.5,USD,CAPTURED,TXN-197923,2026-08-31T01:00:58.813512
PAY-20074,ORD-10074,PayPal,429.12,15.08,USD,CAPTURED,TXN-254511,2026-08-27T20:23:33.813512
PAY-20075,ORD-10075,Stripe,35.1,1.32,USD,CAPTURED,TXN-760356,2026-08-30T13:59:48.813512
PAY-20076,ORD-10076,PayPal,99.58,3.88,USD,CAPTURED,TXN-821024,2026-08-29T13:06:34.813512
PAY-20076-DUP,ORD-10076,PayPal,99.58,3.88,USD,CAPTURED,TXN-105814,2026-08-29T13:06:35.813512
PAY-20077,ORD-10077,PayPal,389.29,13.73,USD,CAPTURED,TXN-943170,2026-08-26T09:21:33.813512
PAY-20078,ORD-10078,Stripe,240.31,7.27,USD,CAPTURED,TXN-578634,2026-08-25T17:58:17.813512
PAY-20079,ORD-10079,Adyen,363.62,9.29,USD,CAPTURED,TXN-742412,2026-08-31T05:17:39.813512
PAY-20080,ORD-10080,Adyen,327.88,8.4,USD,CAPTURED,TXN-879779,2026-08-30T22:05:47.813512
PAY-20081,ORD-10081,Stripe,221.48,6.72,USD,CAPTURED,TXN-390782,2026-08-28T03:02:12.813512
PAY-20082,ORD-10082,Stripe,353.29,24.26,USD,CAPTURED,TXN-345884,2026-08-30T16:34:36.813512
PAY-20083,ORD-10083,Stripe,161.09,4.97,USD,CAPTURED,TXN-501641,2026-08-31T07:44:28.813512
PAY-20084,ORD-10084,PayPal,81.47,3.26,USD,CAPTURED,TXN-668969,2026-08-27T14:40:45.813512
PAY-20085,ORD-10085,PayPal,195.86,7.15,USD,CAPTURED,TXN-829308,2026-08-27T12:43:43.813512
PAY-20086,ORD-10086,PayPal,387.68,13.67,USD,CAPTURED,TXN-413118,2026-08-31T17:27:19.813512
PAY-20087,ORD-10087,Adyen,184.64,4.82,USD,REFUNDED,TXN-732556,2026-08-29T22:41:06.813512
PAY-20088,ORD-10088,PayPal,227.38,8.22,USD,CAPTURED,TXN-452457,2026-08-28T06:46:20.813512
PAY-20089,ORD-10089,Stripe,310.43,9.3,USD,CAPTURED,TXN-233827,2026-08-29T18:40:12.813512
PAY-20090,ORD-10090,Adyen,247.34,6.38,USD,CAPTURED,TXN-188025,2026-08-29T15:51:01.813512
PAY-20091,ORD-10091,Stripe,201.45,6.14,USD,CAPTURED,TXN-443254,2026-08-30T10:19:35.813512
PAY-20092,ORD-10092,PayPal,212.79,7.72,USD,CAPTURED,TXN-364525,2026-08-29T00:24:36.813512
PAY-20093,ORD-10093,Adyen,50.63,1.47,USD,CAPTURED,TXN-335113,2026-08-25T09:32:22.813512
PAY-20094,ORD-10094,Stripe,44.85,1.6,USD,CAPTURED,TXN-979995,2026-08-25T15:14:34.813512
PAY-20095,ORD-10095,PayPal,285.28,10.19,USD,CAPTURED,TXN-328552,2026-08-27T21:24:01.813512
PAY-20096,ORD-10096,Adyen,319.27,8.18,USD,CAPTURED,TXN-853252,2026-08-29T08:58:57.813512
PAY-20097,ORD-10097,PayPal,353.34,12.5,USD,CAPTURED,TXN-126925,2026-08-27T00:58:25.813512
PAY-20098,ORD-10098,Adyen,265.47,6.84,USD,CAPTURED,TXN-720859,2026-08-29T10:44:31.813512
PAY-20099,ORD-10099,Adyen,376.3,9.61,USD,CAPTURED,TXN-991597,2026-08-27T22:34:08.813512
PAY-20100,ORD-10100,Adyen,276.18,7.1,USD,CAPTURED,TXN-464069,2026-08-26T13:19:09.813512
