settlement_id,payment_id,payout_ref,gross_amount,net_amount,fee_deducted,currency,settlement_date,status
SET-30001,PAY-20001,POUT-758,55.76,54.17,1.59,USD,2026-08-30T19:46:20.813512,SETTLED
SET-30002,PAY-20002,POUT-714,297.7,288.77,8.93,USD,2026-09-03T09:03:47.813512,SETTLED
SET-30003,PAY-20003,POUT-857,393.15,379.29,13.86,USD,2026-08-28T23:50:40.813512,SETTLED
SET-30005,PAY-20005,POUT-913,164.62,159.55,5.07,USD,2026-09-18T04:29:05.813512,SETTLED
SET-30006,PAY-20006,POUT-924,49.28,47.85,1.43,USD,2026-08-30T12:18:58.813512,SETTLED
SET-30007,PAY-20007,POUT-838,321.49,311.87,9.62,USD,2026-08-27T16:46:08.813512,SETTLED
SET-30008,PAY-20008,POUT-694,116.26,111.82,4.44,USD,2026-08-29T07:49:48.813512,SETTLED
SET-30009,PAY-20009,POUT-607,85.75,83.41,2.34,USD,2026-09-01T05:15:36.813512,SETTLED
SET-30010,PAY-20010,POUT-773,46.06,44.71,1.35,USD,2026-08-28T02:58:34.813512,SETTLED
SET-30011,PAY-20011,POUT-612,132.43,128.92,3.51,USD,2026-09-01T12:20:39.813512,SETTLED
SET-30012,PAY-20012,POUT-705,28.96,27.49,1.47,USD,2026-09-18T18:23:23.813512,SETTLED
SET-30013,PAY-20013,POUT-702,107.49,104.6,2.89,USD,2026-08-31T20:34:48.813512,SETTLED
SET-30015,PAY-20015,POUT-760,0.0,-172.47,0.0,USD,2026-08-27T18:01:24.813512,SETTLED
SET-30016,PAY-20016,POUT-805,287.94,279.29,8.65,USD,2026-08-31T23:31:43.813512,SETTLED
SET-30017,PAY-20017,POUT-940,245.16,237.75,7.41,USD,2026-09-03T11:20:02.813512,SETTLED
SET-30019,PAY-20019,POUT-988,83.8,81.5,2.3,USD,2026-08-28T05:09:15.813512,SETTLED
SET-30020,PAY-20020,POUT-967,346.45,336.1,10.35,USD,2026-09-02T22:53:14.813512,SETTLED
SET-30021,PAY-20021,POUT-601,292.94,284.14,8.8,USD,2026-09-02T02:32:42.813512,SETTLED
SET-30022,PAY-20022,POUT-806,416.26,401.62,14.64,USD,2026-08-26T04:24:50.813512,SETTLED
SET-30023,PAY-20023,POUT-622,397.24,385.42,11.82,USD,2026-08-31T16:13:34.813512,SETTLED
SET-30024,PAY-20024,POUT-889,333.38,324.85,8.53,USD,2026-08-26T23:09:08.813512,SETTLED
SET-30025,PAY-20025,POUT-584,221.75,213.72,8.03,USD,2026-09-03T10:22:52.813512,SETTLED
SET-30026,PAY-20026,POUT-865,419.08,404.34,14.74,USD,2026-08-30T11:10:44.813512,SETTLED
SET-30027,PAY-20027,POUT-731,205.57,199.31,6.26,USD,2026-09-01T01:34:34.813512,SETTLED
SET-30028,PAY-20028,POUT-617,24.15,23.35,0.8,USD,2026-09-01T11:30:33.813512,SETTLED
SET-30029,PAY-20029,POUT-534,289.53,270.74,18.79,USD,2026-08-29T18:46:14.813512,SETTLED
SET-30030,PAY-20030,POUT-567,226.16,220.31,5.85,USD,2026-09-03T07:30:15.813512,SETTLED
SET-30031,PAY-20031,POUT-913,120.7,116.11,4.59,USD,2026-08-31T13:24:31.813512,SETTLED
SET-30032,PAY-20032,POUT-710,202.51,185.75,16.76,USD,2026-09-01T23:55:14.813512,SETTLED
SET-30033,PAY-20033,POUT-909,41.37,39.87,1.5,USD,2026-08-30T00:54:34.813512,SETTLED
SET-30034,PAY-20034,POUT-593,210.15,202.51,7.64,USD,2026-08-30T23:27:48.813512,SETTLED
SET-30035,PAY-20035,POUT-550,366.49,355.56,10.93,USD,2026-09-03T10:32:00.813512,SETTLED
SET-30036,PAY-20036,POUT-585,414.22,399.65,14.57,USD,2026-08-29T20:47:50.813512,SETTLED
SET-30037,PAY-20037,POUT-635,179.85,173.25,6.6,USD,2026-08-31T14:51:37.813512,SETTLED
SET-30038,PAY-20038,POUT-838,448.01,436.61,11.4,USD,2026-09-01T12:00:50.813512,SETTLED
SET-30039,PAY-20039,POUT-796,109.7,106.76,2.94,USD,2026-08-26T20:13:53.813512,SETTLED
SET-30040,PAY-20040,POUT-744,39.87,38.67,1.2,USD,2026-09-03T19:47:17.813512,SETTLED
SET-30041,PAY-20041,POUT-935,432.94,420.08,12.86,USD,2026-08-29T02:07:23.813512,SETTLED
SET-30042,PAY-20042,POUT-561,389.89,379.94,9.95,USD,2026-09-01T18:30:34.813512,SETTLED
SET-30043,PAY-20043,POUT-836,284.43,277.12,7.31,USD,2026-09-01T22:43:55.813512,SETTLED
SET-30044,PAY-20044,POUT-622,103.85,99.83,4.02,USD,2026-08-29T18:02:44.813512,SETTLED
SET-30045,PAY-20045,POUT-975,145.5,140.98,4.52,USD,2026-08-30T18:35:19.813512,SETTLED
SET-30046,PAY-20046,POUT-775,448.3,435.0,13.3,USD,2026-08-28T00:15:51.813512,SETTLED
SET-30047,PAY-20047,POUT-689,398.18,384.15,14.03,USD,2026-08-29T22:57:29.813512,SETTLED
SET-30048,PAY-20048,POUT-504,321.04,312.81,8.23,USD,2026-09-03T04:42:11.813512,SETTLED
SET-30049,PAY-20049,POUT-635,60.06,58.02,2.04,USD,2026-08-27T16:56:15.813512,SETTLED
SET-30050,PAY-20050,POUT-809,82.62,79.92,2.7,USD,2026-08-30T09:12:04.813512,SETTLED
SET-30051,PAY-20051,POUT-758,290.89,280.51,10.38,USD,2026-08-29T04:20:35.813512,SETTLED
SET-30052,PAY-20052,POUT-522,199.26,193.18,6.08,USD,2026-08-29T07:48:40.813512,SETTLED
SET-30053,PAY-20053,POUT-782,85.29,82.96,2.33,USD,2026-09-02T04:54:46.813512,SETTLED
SET-30054,PAY-20054,POUT-779,47.73,46.05,1.68,USD,2026-08-28T20:58:12.813512,SETTLED
SET-30056,PAY-20056,POUT-681,311.7,303.71,7.99,USD,2026-08-28T08:20:15.813512,SETTLED
SET-30057,PAY-20057,POUT-942,82.23,79.55,2.68,USD,2026-08-28T20:54:10.813512,SETTLED
SET-30058,PAY-20058,POUT-900,93.02,89.37,3.65,USD,2026-08-31T22:58:10.813512,SETTLED
SET-30059,PAY-20059,POUT-903,122.95,119.68,3.27,USD,2026-08-28T23:43:25.813512,SETTLED
SET-30060,PAY-20060,POUT-918,219.75,211.79,7.96,USD,2026-08-29T10:44:41.813512,SETTLED
SET-30061,PAY-20061,POUT-512,394.03,383.98,10.05,USD,2026-08-29T17:07:31.813512,SETTLED
SET-30062,PAY-20062,POUT-679,390.99,381.02,9.97,USD,2026-08-30T08:28:51.813512,SETTLED
SET-30063,PAY-20063,POUT-559,248.25,239.32,8.93,USD,2026-08-28T11:47:30.813512,SETTLED
SET-30064,PAY-20064,POUT-676,62.16,60.41,1.75,USD,2026-09-01T02:55:09.813512,SETTLED
SET-30065,PAY-20065,POUT-697,443.14,431.86,11.28,USD,2026-08-28T11:49:31.813512,SETTLED
SET-30066,PAY-20066,POUT-973,204.69,199.37,5.32,USD,2026-09-03T02:14:02.813512,SETTLED
SET-30067,PAY-20067,POUT-720,306.72,297.53,9.19,USD,2026-08-31T07:43:01.813512,SETTLED
SET-30068,PAY-20068,POUT-868,303.57,292.76,10.81,USD,2026-08-28T14:16:51.813512,SETTLED
SET-30069,PAY-20069,POUT-783,156.89,152.04,4.85,USD,2026-08-30T12:59:31.813512,SETTLED
SET-30070,PAY-20070,POUT-815,309.63,301.69,7.94,USD,2026-09-17T03:46:38.813512,SETTLED
SET-30071,PAY-20071,POUT-720,147.19,143.31,3.88,USD,2026-08-30T13:38:57.813512,SETTLED
SET-30072,PAY-20072,POUT-761,207.18,199.65,7.53,USD,2026-08-30T14:37:09.813512,SETTLED
SET-30073,PAY-20073,POUT-839,51.89,50.39,1.5,USD,2026-09-02T01:00:58.813512,SETTLED
SET-30074,PAY-20074,POUT-844,429.12,414.04,15.08,USD,2026-08-28T20:23:33.813512,SETTLED
SET-30075,PAY-20075,POUT-812,35.1,33.78,1.32,USD,2026-09-01T13:59:48.813512,SETTLED
SET-30076,PAY-20076,POUT-753,99.58,95.7,3.88,USD,2026-08-30T13:06:34.813512,SETTLED
SET-30077,PAY-20077,POUT-898,389.29,375.56,13.73,USD,2026-08-27T09:21:33.813512,SETTLED
SET-30078,PAY-20078,POUT-785,240.31,233.04,7.27,USD,2026-08-26T17:58:17.813512,SETTLED
SET-30079,PAY-20079,POUT-786,363.62,354.33,9.29,USD,2026-09-02T05:17:39.813512,SETTLED
SET-30080,PAY-20080,POUT-718,327.88,319.48,8.4,USD,2026-08-31T22:05:47.813512,SETTLED
SET-30081,PAY-20081,POUT-884,221.48,214.76,6.72,USD,2026-08-31T03:02:12.813512,SETTLED
SET-30082,PAY-20082,POUT-820,353.29,329.03,24.26,USD,2026-09-01T16:34:36.813512,SETTLED
SET-30083,PAY-20083,POUT-541,161.09,156.12,4.97,USD,2026-09-01T07:44:28.813512,SETTLED
SET-30084,PAY-20084,POUT-532,81.47,78.21,3.26,USD,2026-08-29T14:40:45.813512,SETTLED
SET-30085,PAY-20085,POUT-926,195.86,188.71,7.15,USD,2026-08-30T12:43:43.813512,SETTLED
SET-30086,PAY-20086,POUT-694,387.68,374.01,13.67,USD,2026-09-02T17:27:19.813512,SETTLED
SET-30087,PAY-20087,POUT-775,0.0,-184.64,0.0,USD,2026-09-01T22:41:06.813512,SETTLED
SET-30088,PAY-20088,POUT-723,227.38,219.16,8.22,USD,2026-08-30T06:46:20.813512,SETTLED
SET-30089,PAY-20089,POUT-870,310.43,301.13,9.3,USD,2026-08-31T18:40:12.813512,SETTLED
SET-30090,PAY-20090,POUT-803,247.34,240.96,6.38,USD,2026-08-30T15:51:01.813512,SETTLED
SET-30091,PAY-20091,POUT-593,201.45,195.31,6.14,USD,2026-09-01T10:19:35.813512,SETTLED
SET-30092,PAY-20092,POUT-889,212.79,205.07,7.72,USD,2026-08-31T00:24:36.813512,SETTLED
SET-30093,PAY-20093,POUT-883,50.63,49.16,1.47,USD,2026-08-27T09:32:22.813512,SETTLED
SET-30094,PAY-20094,POUT-886,44.85,43.25,1.6,USD,2026-08-26T15:14:34.813512,SETTLED
SET-30095,PAY-20095,POUT-564,285.28,275.09,10.19,USD,2026-09-17T21:24:01.813512,SETTLED
SET-30096,PAY-20096,POUT-585,319.27,311.09,8.18,USD,2026-09-01T08:58:57.813512,SETTLED
SET-30097,PAY-20097,POUT-993,353.34,340.84,12.5,USD,2026-08-30T00:58:25.813512,SETTLED
SET-30098,PAY-20098,POUT-703,265.47,258.63,6.84,USD,2026-08-30T10:44:31.813512,SETTLED
SET-30099,PAY-20099,POUT-552,376.3,366.69,9.61,USD,2026-08-29T22:34:08.813512,SETTLED
